iteration    condNo_k2
460.08   1.00199947
461.08   1.00199947
462.08   1.00199947
463.08   1.00199947
464.08   1.00199947
465.08   1.00199947
466.08   1.00199947
467.08   1.00199947
468.08   1.00199947
469.08   1.00199947
470.08   1.00199947
471.08   1.00199947
472.08   1.00199947
473.08   1.00199947
474.08   1.00199947
475.08   1.00199947
476.08   1.00199947
477.08   1.00199947
478.08   1.00199947
479.08   1.00199947
480.08   1.00199947
481.08   1.00199947
482.08   1.00199947
483.08   1.00199947
484.08   1.00199947
485.08   1.00199947
486.08   1.00199947
487.08   1.00199947
488.08   1.00199947
489.08   1.00199947
490.08   1.00199947
491.08   1.00199947
492.08   1.00199947
493.08   1.00199947
494.08   1.00199947
495.08   1.00199947
496.08   1.00199947
497.08   1.00199947
498.08   1.00199947
499.08   1.00199947
500.08   1.00199947
501.08   1.00199947
502.08   1.00199947
503.08   1.00199947
504.08   1.00199947
505.08   1.00199947
506.08   1.00199947
507.08   1.00199947
508.08   1.00199947
509.08   1.00199947
510.08   1.00199947
511.08   1.00199947
512.08   1.00199947
513.08   1.00199947
514.08   1.00199947
515.09   1.00199947
516.09   1.00199947
517.09   1.00199947
518.09   1.00199947
519.09   1.00199947
520.09   1.00199947
521.09   1.00199947
522.09   1.00199947
523.09   1.00199947
524.09   1.00199947
525.09   1.00199947
526.09   1.00199947
527.09   1.00199947
528.09   1.00199947
529.09   1.00199947
530.09   1.00199947
531.09   1.00199947
532.09   1.00199947
533.09   1.00199947
534.09   1.00199947
535.09   1.00199947
536.09   1.00199947
537.09   1.00199947
538.09   1.00199947
539.09   1.00199947
540.09   1.00199947
541.09   1.00199947
542.09   1.00199947
543.09   1.00199947
544.09   1.00199947
545.09   1.00199947
546.09   1.00199947
547.09   1.00199947
548.09   1.00199947
549.09   1.00199947
550.09   1.00199947
551.09   1.00199947
552.09   1.00199947
553.09   1.00199947
554.09   1.00199947
555.09   1.00199947
556.09   1.00199947
557.09   1.00199947
558.09   1.00199947
559.09   1.00199947
560.09   1.00199947
561.09   1.00199947
562.09   1.00199947
563.09   1.00199947
564.09   1.00199947
565.09   1.00199947
566.09   1.00199947
567.09   1.00199947
568.09   1.00199947
569.09   1.00199947
570.09   1.00199947
571.09   1.00199947
572.09   1.00199947
573.09   1.00199947
574.09   1.00199947
575.09   1.00199947
576.10   1.00199947
577.10   1.00199947
578.10   1.00199947
579.10   1.00199947
580.10   1.00199947
581.10   1.00199947
582.10   1.00199947
583.10   1.00199947
584.10   1.00199947
585.10   1.00199947
586.10   1.00199947
587.10   1.00199947
588.10   1.00199947
589.10   1.00199947
590.10   1.00199947
591.10   1.00199947
592.10   1.00199947
593.10   1.00199947
594.10   1.00199947
595.10   1.00199947
596.10   1.00199947
597.10   1.00199947
598.10   1.00199947
599.10   1.00199947
600.10   1.00199947
601.10   1.00199947
602.10   1.00199947
603.10   1.00199947
604.10   1.00199947
605.10   1.00199947
606.10   1.00199947
607.10   1.00199947
608.10   1.00199947
609.10   1.00199947
610.10   1.00199947
611.10   1.00199947
612.10   1.00199947
613.10   1.00199947
614.10   1.00199947
615.10   1.00199947
616.10   1.00199947
617.10   1.00199947
618.10   1.00199947
619.10   1.00199947
620.10   1.00199947
621.10   1.00199947
622.10   1.00199947
623.10   1.00199947
624.10   1.00199947
625.10   1.00199947
626.10   1.00199947
627.10   1.00199947
628.10   1.00199947
629.10   1.00199947
630.10   1.00199947
631.10   1.00199947
632.10   1.00199947
633.10   1.00199947
634.10   1.00199947
635.10   1.00199947
636.11   1.00199947
637.11   1.00199947
638.11   1.00199947
639.11   1.00199947
640.11   1.00199947
641.11   1.00199947
642.11   1.00199947
643.11   1.00199947
644.11   1.00199947
645.11   1.00199947
646.11   1.00199947
647.11   1.00199947
648.11   1.00199947
649.11   1.00199947
650.11   1.00199947
651.11   1.00199947
652.11   1.00199947
653.11   1.00199947
654.11   1.00199947
655.11   1.00199947
656.11   1.00199947
657.11   1.00199947
658.11   1.00199947
659.11   1.00199947
660.11   1.00199947
661.11   1.00199947
662.11   1.00199947
663.11   1.00199947
664.11   1.00199947
665.11   1.00199947
666.11   1.00199947
667.11   1.00199947
668.11   1.00199947
669.11   1.00199947
670.11   1.00199947
671.11   1.00199947
672.11   1.00199947
673.11   1.00199947
674.11   1.00199947
675.11   1.00199947
676.11   1.00199947
677.11   1.00199947
678.11   1.00199947
679.11   1.00199947
680.11   1.00199947
681.11   1.00199947
682.11   1.00199947
683.11   1.00199947
684.11   1.00199947
685.11   1.00199947
686.11   1.00199947
687.11   1.00199947
688.11   1.00199947
689.11   1.00199947
690.11   1.00199947
691.11   1.00199947
692.11   1.00199947
693.11   1.00199947
694.11   1.00199947
695.11   1.00199947
696.11   1.00199947
697.12   1.00199947
698.12   1.00199947
699.12   1.00199947
700.12   1.00199947
701.12   1.00199947
702.12   1.00199947
703.12   1.00199947
704.12   1.00199947
705.12   1.00199947
706.12   1.00199947
707.12   1.00199947
708.12   1.00199947
709.12   1.00199947
710.12   1.00199947
711.12   1.00199947
712.12   1.00199947
713.12   1.00199947
714.12   1.00199947
715.12   1.00199947
716.12   1.00199947
717.12   1.00199947
718.12   1.00199947
719.12   1.00199947
720.12   1.00199947
721.12   1.00199947
722.12   1.00199947
723.12   1.00199947
724.12   1.00199947
725.12   1.00199947
726.12   1.00199947
727.12   1.00199947
728.12   1.00199947
729.12   1.00199947
730.12   1.00199947
731.12   1.00199947
732.12   1.00199947
733.12   1.00199947
734.12   1.00199947
735.12   1.00199947
736.12   1.00199947
737.12   1.00199947
738.12   1.00199947
739.12   1.00199947
740.12   1.00199947
741.12   1.00199947
742.12   1.00199947
743.12   1.00199947
744.12   1.00199947
745.12   1.00199947
746.12   1.00199947
747.12   1.00199947
748.12   1.00199947
749.12   1.00199947
750.12   1.00199947
751.12   1.00199947
752.12   1.00199947
753.12   1.00199947
754.12   1.00199947
755.12   1.00199947
756.12   1.00199947
757.12   1.00199947
758.13   1.00199947
759.13   1.00199947
760.13   1.00199947
761.13   1.00199947
762.13   1.00199947
763.13   1.00199947
764.13   1.00199947
765.13   1.00199947
766.13   1.00199947
767.13   1.00199947
768.13   1.00199947
769.13   1.00199947
770.13   1.00199947
771.13   1.00199947
772.13   1.00199947
773.13   1.00199947
774.13   1.00199947
775.13   1.00199947
776.13   1.00199947
777.13   1.00199947
778.13   1.00199947
779.13   1.00199947
780.13   1.00199947
781.13   1.00199947
782.13   1.00199947
783.13   1.00199947
784.13   1.00199947
785.13   1.00199947
786.13   1.00199947
787.13   1.00199947
788.13   1.00199947
789.13   1.00199947
790.13   1.00400286
791.13   1.00400286
792.13   1.00400286
793.13   1.00400286
794.13   1.00400286
795.13   1.00400286
796.13   1.00400286
797.13   1.00400286
798.13   1.00400286
799.13   1.00400286
800.13   1.00400286
801.13   1.00400286
802.13   1.00400286
803.13   1.00400286
804.13   1.00400286
805.13   1.00400286
806.13   1.00400286
807.13   1.00400286
808.13   1.00400286
809.13   1.00400286
810.13   1.00400286
811.13   1.00400286
812.13   1.00400286
813.13   1.00400286
814.13   1.00400286
815.13   1.00400286
816.13   1.00400286
817.13   1.00400286
818.14   1.00400286
819.14   1.00400286
820.14   1.00400286
821.14   1.00400286
822.14   1.00400286
823.14   1.00400286
824.14   1.00400286
825.14   1.00400286
826.14   1.00400286
827.14   1.00400286
828.14   1.00400286
829.14   1.00400286
830.14   1.00400286
831.14   1.00400286
832.14   1.00400286
833.14   1.00400286
834.14   1.00400286
835.14   1.00400286
836.14   1.00400286
837.14   1.00400286
838.14   1.00400286
839.14   1.00400286
840.14   1.00400286
841.14   1.00400286
842.14   1.00400286
843.14   1.00400286
844.14   1.00400286
845.14   1.00400286
846.14   1.00400286
847.14   1.00400286
848.14   1.00400286
849.14   1.00400286
850.14   1.00400286
851.14   1.00400286
852.14   1.00400286
853.14   1.00400286
854.14   1.00400286
855.14   1.00400286
856.14   1.00400286
857.14   1.00400286
858.14   1.00400286
859.14   1.00400286
860.14   1.00400286
861.14   1.00400286
862.14   1.00400286
863.14   1.00400286
864.14   1.00400286
865.14   1.00400286
866.14   1.00400286
867.14   1.00400286
868.14   1.00400286
869.14   1.00400286
870.14   1.00400286
871.14   1.00400286
872.14   1.00400286
873.14   1.00400286
874.14   1.00400286
875.14   1.00400286
876.14   1.00400286
877.14   1.00400286
878.14   1.00400286
879.15   1.00400286
880.15   1.00400286
881.15   1.00400286
882.15   1.00400286
883.15   1.00400286
884.15   1.00400286
885.15   1.00400286
886.15   1.00400286
887.15   1.00400286
888.15   1.00400286
889.15   1.00400286
890.15   1.00400286
891.15   1.00400286
892.15   1.00400286
893.15   1.00400286
894.15   1.00400286
895.15   1.00400286
896.15   1.00400286
897.15   1.00400286
898.15   1.00400286
899.15   1.00400286
900.15   1.00400286
901.15   1.00400286
902.15   1.00400286
903.15   1.00400286
904.15   1.00400286
905.15   1.00400286
906.15   1.00400286
907.15   1.00400286
908.15   1.00400286
909.15   1.00400286
910.15   1.00400286
911.15   1.00400286
912.15   1.00400286
913.15   1.00400286
914.15   1.00400286
915.15   1.00400286
916.15   1.00400286
917.15   1.00400286
918.15   1.00400286
919.15   1.00400286
920.15   1.00400286
921.15   1.00400286
922.15   1.00400286
923.15   1.00400286
924.15   1.00400286
925.15   1.00400286
926.15   1.00400286
927.15   1.00400286
928.15   1.00400286
929.15   1.00400286
930.15   1.00400286
931.15   1.00400286
932.15   1.00400286
933.15   1.00400286
934.15   1.00400286
935.15   1.00400286
936.15   1.00400286
937.15   1.00400286
938.15   1.00400286
939.16   1.00400286
940.16   1.00400286
941.16   1.00400286
942.16   1.00400286
943.16   1.00400286
944.16   1.00400286
945.16   1.00400286
946.16   1.00400286
947.16   1.00400286
948.16   1.00400286
949.16   1.00400286
950.16   1.00400286
951.16   1.00400286
952.16   1.00400286
953.16   1.00400286
954.16   1.00400286
955.16   1.00400286
956.16   1.00400286
957.16   1.00400286
958.16   1.00400286
959.16   1.00400286
960.16   1.00400286
961.16   1.00400286
962.16   1.00400286
963.16   1.00400286
964.16   1.00400286
965.16   1.00400286
966.16   1.00400286
967.16   1.00400286
968.16   1.00400286
969.16   1.00400286
970.16   1.00400286
971.16   1.00400286
972.16   1.00400286
973.16   1.00400286
974.16   1.00400286
975.16   1.00400286
976.16   1.00400286
977.16   1.00400286
978.16   1.00400286
979.16   1.00400286
980.16   1.00400286
981.16   1.00400286
982.16   1.00400286
983.16   1.00400286
984.16   1.00400286
985.16   1.00400286
986.16   1.00400286
987.16   1.00400286
988.16   1.00400286
989.16   1.00400286
990.16   1.00400286
991.16   1.00400286
992.16   1.00400286
993.16   1.00400286
994.16   1.00400286
995.16   1.00400286
996.16   1.00400286
997.16   1.00400286
998.16   1.00400286
999.16   1.00400286
1000.17   1.00400286
1001.17   1.00400286
1002.17   1.00400286
1003.17   1.00400286
1004.17   1.00400286
1005.17   1.00400286
1006.17   1.00400286
1007.17   1.00400286
1008.17   1.00400286
1009.17   1.00400286
1010.17   1.00400286
1011.17   1.00400286
1012.17   1.00400286
1013.17   1.00400286
1014.17   1.00400286
1015.17   1.00400286
1016.17   1.00400286
1017.17   1.00400286
1018.17   1.00400286
1019.17   1.00400286
1020.17   1.00400286
1021.17   1.00400286
1022.17   1.00400286
1023.17   1.00400286
1024.17   1.00400286
1025.17   1.00400286
1026.17   1.00400286
1027.17   1.00400286
1028.17   1.00400286
1029.17   1.00400286
1030.17   1.00400286
1031.17   1.00400286
1032.17   1.00400286
1033.17   1.00400286
1034.17   1.00400286
1035.17   1.00400286
1036.17   1.00400286
1037.17   1.00400286
1038.17   1.00400286
1039.17   1.00400286
1040.17   1.00400286
1041.17   1.00400286
1042.17   1.00400286
1043.17   1.00400286
1044.17   1.00400286
1045.17   1.00400286
1046.17   1.00400286
1047.17   1.00400286
1048.17   1.00400286
1049.17   1.00400286
1050.17   1.00400286
1051.17   1.00400286
1052.17   1.00400286
1053.17   1.00400286
1054.17   1.00400286
1055.17   1.00400286
1056.17   1.00400286
1057.17   1.00400286
1058.17   1.00400286
1059.17   1.00400286
1060.18   1.00400286
1061.18   1.00400286
1062.18   1.00400286
1063.18   1.00400286
1064.18   1.00400286
1065.18   1.00400286
1066.18   1.00400286
1067.18   1.00400286
1068.18   1.00400286
1069.18   1.00400286
1070.18   1.00400286
1071.18   1.00400286
1072.18   1.00400286
1073.18   1.00400286
1074.18   1.00400286
1075.18   1.00400286
1076.18   1.00400286
1077.18   1.00400286
1078.18   1.00400286
1079.18   1.00400286
1080.18   1.00400286
1081.18   1.00400286
1082.18   1.00400286
1083.18   1.00400286
1084.18   1.00400286
1085.18   1.00400286
1086.18   1.00400286
1087.18   1.00400286
1088.18   1.00400286
1089.18   1.00400286
1090.18   1.00400286
1091.18   1.00400286
1092.18   1.00400286
1093.18   1.00400286
1094.18   1.00400286
1095.18   1.00400286
1096.18   1.00400286
1097.18   1.00400286
1098.18   1.00400286
1099.18   1.00400286
1100.18   1.00400286
1101.18   1.00400286
1102.18   1.00400286
1103.18   1.00400286
1104.18   1.00400286
1105.18   1.00400286
1106.18   1.00400286
1107.18   1.00400286
1108.18   1.00400286
1109.18   1.00400286
1110.18   1.00400286
1111.18   1.00400286
1112.18   1.00400286
1113.18   1.00400286
1114.18   1.00400286
1115.18   1.00400286
1116.18   1.00400286
1117.18   1.00400286
1118.18   1.00400286
1119.18   1.00400286
1120.18   1.00400286
1121.19   1.00400286
1122.19   1.00400286
1123.19   1.00400286
1124.19   1.00400286
1125.19   1.00400286
1126.19   1.00400286
1127.19   1.00400286
1128.19   1.00400286
1129.19   1.00400286
1130.19   1.00400286
1131.19   1.00400286
1132.19   1.00400286
1133.19   1.00400286
1134.19   1.00400286
1135.19   1.00400286
1136.19   1.00400286
1137.19   1.00400286
1138.19   1.00400286
1139.19   1.00400286
1140.19   1.00400286
1141.19   1.00400286
1142.19   1.00400286
1143.19   1.00400286
1144.19   1.00400286
1145.19   1.00400286
1146.19   1.00400286
1147.19   1.00400286
1148.19   1.00400286
1149.19   1.00400286
